date,ascs,phase,n_indicators
2017-01-04 05:00:00+00:00,92.29166507720947,Euphoria,1.0
2017-01-05 05:00:00+00:00,48.22916587193807,Expansion,2.0
2017-01-06 05:00:00+00:00,76.03496286072534,Late Bull,2.0
2017-01-09 05:00:00+00:00,96.52058237780479,Euphoria,2.0
2017-01-10 05:00:00+00:00,98.83333245913188,Euphoria,2.0
2017-01-11 05:00:00+00:00,98.97916714350383,Euphoria,2.0
2017-01-12 05:00:00+00:00,83.8361895133292,Euphoria,2.0
2017-01-13 05:00:00+00:00,90.37089210160696,Euphoria,2.0
2017-01-17 05:00:00+00:00,69.17790057023221,Late Bull,2.0
2017-01-18 05:00:00+00:00,80.0745495112358,Euphoria,2.0
2017-01-19 05:00:00+00:00,74.1868742955051,Late Bull,2.0
2017-01-20 05:00:00+00:00,82.3593853666651,Euphoria,2.0
2017-01-23 05:00:00+00:00,87.7030288068527,Euphoria,3.0
2017-01-24 05:00:00+00:00,93.14587685058612,Euphoria,3.0
2017-01-25 05:00:00+00:00,97.69271624590135,Euphoria,3.0
2017-01-26 05:00:00+00:00,95.04292192715975,Euphoria,3.0
2017-01-27 05:00:00+00:00,97.57658017306244,Euphoria,3.0
2017-01-30 05:00:00+00:00,95.06405323341225,Euphoria,3.0
2017-01-31 05:00:00+00:00,88.05870716777112,Euphoria,3.0
2017-02-01 05:00:00+00:00,91.5353898290379,Euphoria,3.0
2017-02-02 05:00:00+00:00,91.50886493009723,Euphoria,3.0
2017-02-03 05:00:00+00:00,92.35769580876105,Euphoria,3.0
2017-02-06 05:00:00+00:00,95.03568757570176,Euphoria,3.0
2017-02-07 05:00:00+00:00,94.97028291255985,Euphoria,3.0
2017-02-08 05:00:00+00:00,95.48589897745363,Euphoria,3.0
2017-02-09 05:00:00+00:00,91.20963068434749,Euphoria,3.0
2017-02-10 05:00:00+00:00,91.79893563809188,Euphoria,3.0
2017-02-13 05:00:00+00:00,93.40201215244245,Euphoria,4.0
2017-02-14 05:00:00+00:00,92.42038263400342,Euphoria,4.0
2017-02-15 05:00:00+00:00,93.87774298822863,Euphoria,4.0
2017-02-16 05:00:00+00:00,91.96853180840554,Euphoria,4.0
2017-02-17 05:00:00+00:00,93.28216826623975,Euphoria,4.0
2017-02-21 05:00:00+00:00,93.91703684767154,Euphoria,4.0
2017-02-22 05:00:00+00:00,93.63439541322634,Euphoria,4.0
2017-02-23 05:00:00+00:00,88.83208118382329,Euphoria,4.0
2017-02-24 05:00:00+00:00,88.79120402039243,Euphoria,4.0
2017-02-27 05:00:00+00:00,91.51397796621094,Euphoria,4.0
2017-02-28 05:00:00+00:00,87.2387366954577,Euphoria,4.0
2017-03-01 05:00:00+00:00,87.90983500021973,Euphoria,4.0
2017-03-02 05:00:00+00:00,86.5633181852756,Euphoria,4.0
2017-03-03 05:00:00+00:00,88.01639764715826,Euphoria,4.0
2017-03-06 05:00:00+00:00,92.06626593928782,Euphoria,4.0
2017-03-07 05:00:00+00:00,92.02831523094144,Euphoria,4.0
2017-03-08 05:00:00+00:00,91.96931978840986,Euphoria,4.0
2017-03-09 05:00:00+00:00,91.38341250372139,Euphoria,4.0
2017-03-10 05:00:00+00:00,92.36427153657104,Euphoria,4.0
2017-03-13 04:00:00+00:00,95.45533835723748,Euphoria,4.0
2017-03-14 04:00:00+00:00,95.27200868442608,Euphoria,4.0
2017-03-15 04:00:00+00:00,94.45477335813868,Euphoria,4.0
2017-03-16 04:00:00+00:00,95.33285803789992,Euphoria,4.0
2017-03-17 04:00:00+00:00,96.46973453249032,Euphoria,4.0
2017-03-20 04:00:00+00:00,97.85687040415539,Euphoria,4.0
2017-03-21 04:00:00+00:00,91.94072181141951,Euphoria,4.0
2017-03-22 04:00:00+00:00,91.2813364039799,Euphoria,4.0
2017-03-23 04:00:00+00:00,90.06909054933138,Euphoria,4.0
2017-03-24 04:00:00+00:00,90.54556064289893,Euphoria,4.0
2017-03-27 04:00:00+00:00,90.2992506951164,Euphoria,4.0
2017-03-28 04:00:00+00:00,91.70873202588027,Euphoria,4.0
2017-03-29 04:00:00+00:00,93.11735322488225,Euphoria,4.0
2017-03-30 04:00:00+00:00,94.19473932962971,Euphoria,4.0
2017-03-31 04:00:00+00:00,93.83414362507543,Euphoria,4.0
2017-04-03 04:00:00+00:00,90.20770660075472,Euphoria,4.0
2017-04-04 04:00:00+00:00,88.8566384491241,Euphoria,4.0
2017-04-05 04:00:00+00:00,88.49441161012221,Euphoria,4.0
2017-04-06 04:00:00+00:00,86.4669731860241,Euphoria,4.0
2017-04-07 04:00:00+00:00,88.56344598583962,Euphoria,4.0
2017-04-10 04:00:00+00:00,86.16697405825242,Euphoria,4.0
2017-04-11 04:00:00+00:00,82.02986661410993,Euphoria,4.0
2017-04-12 04:00:00+00:00,77.22946773560156,Late Bull,4.0
2017-04-13 04:00:00+00:00,74.92282922155901,Late Bull,4.0
2017-04-17 04:00:00+00:00,65.83262142380056,Late Bull,4.0
2017-04-18 04:00:00+00:00,69.4075993100964,Late Bull,4.0
2017-04-19 04:00:00+00:00,71.00797790049434,Late Bull,4.0
2017-04-20 04:00:00+00:00,72.67008460479462,Late Bull,4.0
2017-04-21 04:00:00+00:00,73.4297271204219,Late Bull,4.0
2017-04-24 04:00:00+00:00,76.13113542926902,Late Bull,4.0
2017-04-25 04:00:00+00:00,84.95623725953094,Euphoria,4.0
